user_id,split,d_out,d_in,tx,ty,quadrant,delta_q1,delta_q2,delta_q3,delta_q4
u000001,eval,0.4772648336043076,0.006031907745780026,0.4531250000000001,0.008185965723619909,Q1,0.00014676326483542557,0.0005766921879742926,0.005401004705681389,0.018005199678225225
u000038,eval,0.08336481116910233,0.0042103087193455496,0.4531250000000001,0.008185965723619909,Q3,0.00017057359694350183,0.0008074620790414766,0.004994769510175301,0.010869833978514931
u000049,eval,0.6252640963502147,0.003086025751695827,0.4531250000000001,0.008185965723619909,Q1,0.00018176727439644935,0.0007616679014361694,0.002945439305606312,0.008456134479021937
u000060,eval,0.32476504044162924,0.002425974745143073,0.4531250000000001,0.008185965723619909,Q3,0.0001704288110501162,0.0008265959071158679,0.002892327965448027,0.005815241982348063
u000071,eval,0.19445995648691394,0.0023411748805225994,0.4531250000000001,0.008185965723619909,Q3,0.00017827798467962008,0.0005043118904465294,0.002513435788349949,0.0061694068187092554
u000093,eval,0.19445995648691394,0.0015604221543659902,0.4531250000000001,0.008185965723619909,Q3,0.00017705063129236365,0.000939725533142699,0.0021538547753926496,0.002971404289993873
u000104,eval,0.19445995648691394,0.007264848508767791,0.4531250000000001,0.008185965723619909,Q3,0.00015179315668023552,0.0006687678437770073,0.006331172238289495,0.021910097577718335
u000115,eval,0.16907421889786067,0.0054423486417441375,0.4531250000000001,0.008185965723619909,Q3,0.00017283462318029574,0.0007824569764957046,0.005115758500226386,0.015700115560593808
u000002,eval,0.4649557406385233,0.004396336380938613,0.4531250000000001,0.008185965723619909,Q1,0.0001738425489818951,0.0005768682651483559,0.003779223234763207,0.013056822937415613
u000013,eval,0.04812830087309383,0.01239790829378411,0.4531250000000001,0.008185965723619909,Q4,0.00018557920881079326,0.0013462719750879648,0.01129282055318892,0.03677110947851281
u000023,eval,0.0059482214754180696,0.00313269874967228,0.4531250000000001,0.008185965723619909,Q3,0.00015532998575074064,0.0006624259564569357,0.003434793193421659,0.0082792433154113
u000031,eval,0.889342564789687,0.0043592669115914565,0.4531250000000001,0.008185965723619909,Q1,0.0001804054592097204,0.0006240210535921609,0.004255668133320012,0.012378404291432776
u000032,eval,0.07765670994136908,0.00443825942442735,0.4531250000000001,0.008185965723619909,Q3,0.00015856847376849448,0.0007028265721953364,0.004410616562604441,0.012482472086821739
u000033,eval,0.04007560308570457,0.0020998387509769774,0.4531250000000001,0.008185965723619909,Q3,0.00019218006806964727,0.0006760927611385581,0.0027503814559541873,0.004781334859002895
u000034,eval,0.07583836677124312,0.01799404008893342,0.4531250000000001,0.008185965723619909,Q4,0.00014303496865164522,0.0006354424823161731,0.012138116370559504,0.05906559351434648
u000035,eval,2.220446049250313e-16,0.0022732182775344395,0.4531250000000001,0.008185965723619909,Q3,0.00021478607363267788,0.0006178628406645625,0.0024686215377719423,0.0057922750796738365
u000036,eval,0.24962119075357558,0.022936732307238885,0.4531250000000001,0.008185965723619909,Q4,0.0001815817209444015,0.0013515382414749366,0.01877457739581423,0.07144706273333756
u000037,eval,0.04260026184955401,0.003750715746683558,0.4531250000000001,0.008185965723619909,Q3,0.00016426767056021419,0.0009177967392665076,0.004164628555720418,0.00975733301883941
u000039,eval,2.220446049250313e-16,0.003854295907312441,0.4531250000000001,0.008185965723619909,Q3,0.00018897644807069902,0.0007627116982819038,0.004468443310367998,0.009998318322246957
u000040,eval,0.521950144442887,0.0023803573980527705,0.4531250000000001,0.008185965723619909,Q1,0.00017639428224247578,0.000538627427118965,0.0027742292444794536,0.006032937077013467
u000041,eval,2.220446049250313e-16,0.002959216082028574,0.4531250000000001,0.008185965723619909,Q3,0.00017625349541916524,0.0006800043934516165,0.003122793634589671,0.0078587248729034
u000042,eval,1.0,0.0030858286401128357,0.4531250000000001,0.008185965723619909,Q1,0.00017246387561364873,0.000657571456983419,0.0035684940997079417,0.007945782193520268
u000045,eval,0.2918256869188236,0.013375730384169587,0.4531250000000001,0.008185965723619909,Q4,0.0001732179690779878,0.0006347532603078188,0.010302405965438854,0.04239709134241976
u000046,eval,0.013291704778403357,0.005097400098928059,0.4531250000000001,0.008185965723619909,Q3,0.00017017722388668055,0.0006417470110459123,0.0043233183012282295,0.01525599940008704
u000047,eval,0.15212914105119935,0.008968489835834897,0.4531250000000001,0.008185965723619909,Q4,0.0001772322155245698,0.0006354672519468529,0.0070637734433411925,0.02800048186373305
u000048,eval,0.5136996591930478,0.002433889465796298,0.4531250000000001,0.008185965723619909,Q1,0.00021111424035458182,0.0011125084467989987,0.0032310501426429106,0.005181525357093819
u000051,eval,0.06943574846032063,0.010815030481391222,0.4531250000000001,0.008185965723619909,Q4,0.00016966301880239065,0.000814027545388285,0.006775414042609729,0.035504453430857064
u000052,eval,0.27853398214042013,0.005522078265727435,0.4531250000000001,0.008185965723619909,Q3,0.00016947593127780713,0.0004479816491534949,0.004351819258097134,0.017120859158237245
u000053,eval,1.0,0.004068398258999952,0.4531250000000001,0.008185965723619909,Q1,0.00015857562231880173,0.0006606092255104778,0.00473456543266404,0.010721227732335414
u000054,eval,0.22744399502785229,0.013392716587813248,0.4531250000000001,0.008185965723619909,Q4,0.00016598603245865373,0.0007336270899134245,0.010757669999787445,0.041918148671641564
u000056,eval,2.220446049250313e-16,0.0051847252280141365,0.4531250000000001,0.008185965723619909,Q3,0.00018493022567800388,0.0006722044763025625,0.005356693175291194,0.014526826671355408
u000057,eval,0.6385558011286181,0.011487286231990402,0.4531250000000001,0.008185965723619909,Q2,0.00020616612132751122,0.0007291658047635652,0.0109963342443532,0.03402152702305383
u000058,eval,0.1575880641156533,0.01988988332600702,0.4531250000000001,0.008185965723619909,Q4,0.00015787686493740072,0.0006667073547530489,0.015672438089040286,0.06306939716306448
u000064,eval,0.19445995648691394,0.020676108527730767,0.4531250000000001,0.008185965723619909,Q4,0.00017429883599917595,0.0005053010364423072,0.014604962449051628,0.0674269267105917
u000065,eval,0.5346482960745345,0.0022226743076244823,0.4531250000000001,0.008185965723619909,Q1,0.0001792348241123065,0.00037295750194887844,0.0019838140278098937,0.006355379996734523
u000066,eval,0.14476813009259382,0.01498285167803201,0.4531250000000001,0.008185965723619909,Q4,0.00018327738841006358,0.000518328085134967,0.012537815837271316,0.04669723227756206
u000067,eval,2.220446049250313e-16,0.000673386203030048,0.4531250000000001,0.008185965723619909,Q3,0.00015260359617885744,0.00041412799140971845,0.0008306651366513096,0.0012962800718673284
u000068,eval,0.019239926253821538,0.006792646218431064,0.4531250000000001,0.008185965723619909,Q3,0.00015550596470415012,0.0006727746717207772,0.005414138988522943,0.020930380433612727
u000069,eval,1.0,0.005048998786790201,0.4531250000000001,0.008185965723619909,Q1,0.0002168639637748493,0.0006657035032250347,0.004890661586847367,0.014424436918501704
u000070,eval,0.14109264862280602,0.0023380303979092347,0.4531250000000001,0.008185965723619909,Q3,0.00016815122791202786,0.0005989916514591576,0.0029920074264075947,0.005593720692506965
u000073,eval,0.43064559553599924,0.019071365254479812,0.4531250000000001,0.008185965723619909,Q4,0.0001901638686682139,0.0005137206275123152,0.012009449931429605,0.06357847904753844
u000074,eval,0.5411900706967085,0.007211967062745854,0.4531250000000001,0.008185965723619909,Q1,0.00017175732942242838,0.0008249318346518209,0.005988471231805015,0.02186504849008042
u000076,eval,0.5691716409717631,0.0037178930978838233,0.4531250000000001,0.008185965723619909,Q1,0.00014505131762765355,0.000614818887943569,0.0032928418684241567,0.010820024797266292
u000077,eval,0.2918256869188236,0.002535848128069741,0.4531250000000001,0.008185965723619909,Q3,0.0001731879770493494,0.0006755881531992358,0.002974110039213107,0.006321286343632271
u000078,eval,0.08336481116910233,0.0047665267037673,0.4531250000000001,0.008185965723619909,Q3,0.00015455904306427293,0.0005742621829307737,0.003908864968165338,0.014429951113392514
u000079,eval,0.10514692384239355,0.004415734891391722,0.4531250000000001,0.008185965723619909,Q3,0.00017839490789761658,0.000672388880574526,0.003809098813826295,0.013004447452222068
u000081,eval,0.32703778044725973,0.009643668838336523,0.4531250000000001,0.008185965723619909,Q4,0.00015759871680276483,0.0006807608011748512,0.00864389577679503,0.029095743378514505
u000083,eval,0.889342564789687,0.003309399467229403,0.4531250000000001,0.008185965723619909,Q1,0.0001844856445064602,0.0005780153597233495,0.003780677717680092,0.008695522639323383
u000084,eval,1.0,0.011451069308563207,0.4531250000000001,0.008185965723619909,Q2,0.00018112744444542805,0.0005630508793975642,0.008954683778620631,0.036109312219071876
u000085,eval,0.6947240639754715,0.008798609574733496,0.4531250000000001,0.008185965723619909,Q2,0.00013173825411394446,0.0006687672401374245,0.005467769618117235,0.028928952941929986
u000086,eval,2.220446049250313e-16,0.0021239425882404453,0.4531250000000001,0.008185965723619909,Q3,0.00015725733743510162,0.0005757550816730683,0.0025395151337581634,0.005223896786597071
u000087,eval,0.0059482214754180696,0.004614391347540044,0.4531250000000001,0.008185965723619909,Q3,0.00018879891790224423,0.0008088841829237969,0.005859296103394196,0.011602184595482345
u000088,eval,0.22927902492598418,0.006310450091282915,0.4531250000000001,0.008185965723619909,Q3,0.00014760963426696527,0.0009471429240056617,0.0062704688013234255,0.017878656470174392
u000089,eval,0.0341273816102865,0.009193223701892845,0.4531250000000001,0.008185965723619909,Q4,0.000178717486505664,0.0015566781957971898,0.008613245199174058,0.026427180179435572
u000090,eval,0.13193082214969476,0.012864478176007596,0.4531250000000001,0.008185965723619909,Q4,0.00016648721915424325,0.0006826868065546998,0.008143336075220442,0.04246958694992242
u000092,eval,0.6385558011286181,0.00646439093940287,0.4531250000000001,0.008185965723619909,Q1,0.00014891599721134074,0.0005728874765187353,0.004520778618956056,0.020617050387034097
u000094,eval,0.0460062969055024,0.0067906887413040325,0.4531250000000001,0.008185965723619909,Q3,0.00015498687996440275,0.0006749059408824865,0.006417985608010657,0.01991718552180466
u000095,eval,0.11862158971567105,0.0047105026687858376,0.4531250000000001,0.008185965723619909,Q3,0.0002249725697899274,0.0008127481323165764,0.0053127400325487795,0.012493119942525333
u000096,eval,0.20914982198356502,0.017051493171817162,0.4531250000000001,0.008185965723619909,Q4,0.00017040756559882908,0.0007656138007025026,0.01257840280194944,0.05469730948879792
u000097,eval,1.0,0.002906112943796819,0.4531250000000001,0.008185965723619909,Q1,0.0001931920125899378,0.0008800724251794012,0.003539426496791842,0.007012635452223748
u000098,eval,0.0845117357610049,0.0045150971655859105,0.4531250000000001,0.008185965723619909,Q3,0.00014154199112292876,0.0005296467211661771,0.003939890378186761,0.013450786472078091
u000101,eval,0.6385558011286181,0.00628483242095364,0.4531250000000001,0.008185965723619909,Q1,0.00015362404198804303,0.0006538151742450093,0.005419936152502802,0.018914032515464307
u000102,eval,0.20914982198356502,0.011728951726716279,0.4531250000000001,0.008185965723619909,Q4,0.00017824628860996228,0.0008952385005642771,0.008054789570087761,0.03779132255286466
u000103,eval,0.2693546280116884,0.003959495359808312,0.4531250000000001,0.008185965723619909,Q3,0.0002024876608918147,0.0006201978223968618,0.004012828436499416,0.01100376245899748
u000105,eval,0.19445995648691394,0.00784990135583747,0.4531250000000001,0.008185965723619909,Q3,0.00018993086531915448,0.0006090956981218421,0.00637276082719429,0.02423043923497281
u000106,eval,0.01512757560414979,0.0038787017132820793,0.4531250000000001,0.008185965723619909,Q3,0.00016683046030030457,0.0009416930167274185,0.0044251810608324504,0.009982318676201252
u000107,eval,0.10260473742292375,0.0037475506507091134,0.4531250000000001,0.008185965723619909,Q3,0.00017919629245544133,0.0007652981125130243,0.004478425695225163,0.009568519390110053
u000110,eval,2.220446049250313e-16,0.004649490051715434,0.4531250000000001,0.008185965723619909,Q3,0.00024029040614226282,0.0005024977671496123,0.004439202930059949,0.01341753210744645
u000111,eval,2.220446049250313e-16,0.014389070802414089,0.4531250000000001,0.008185965723619909,Q4,0.00016955384642558524,0.0006094921485733096,0.011087492550176603,0.04569466004401135
u000112,eval,0.05659844051742158,0.0021133886507791427,0.4531250000000001,0.008185965723619909,Q3,0.00016475465394005795,0.001271375178922951,0.0031500936202465413,0.003867828597750478
u000113,eval,0.026783898307301213,0.002972479614603974,0.4531250000000001,0.008185965723619909,Q3,0.00018364603237885913,0.0007077541401733223,0.003170344149688531,0.007829085493415766
u000114,eval,0.013291704778403357,0.003227476557058998,0.4531250000000001,0.008185965723619909,Q3,0.0001923876872688135,0.0007372609531194341,0.0033639718921006923,0.008617277798451228
u000116,eval,0.3614441988713819,0.003116621789265781,0.4531250000000001,0.008185965723619909,Q3,0.0001492445519990504,0.001464088904221339,0.0034441491287232617,0.007409755928384776
u000117,eval,0.4114056692821778,0.011948229335239757,0.4531250000000001,0.008185965723619909,Q4,0.0001716023153589541,0.001002473619298172,0.009306332914360449,0.037316446818919324
u000118,eval,0.6399781810118019,0.014986040711143516,0.4531250000000001,0.008185965723619909,Q2,0.00016397984651306263,0.0005676825810883024,0.011104814374831906,0.04811278473658909
u000119,eval,0.43064559553599924,0.0034727484808846788,0.4531250000000001,0.008185965723619909,Q3,0.00015129655139378695,0.0005907404210974132,0.003683939524048996,0.00946615650272864
u000120,eval,1.0,0.0012605940097251802,0.4531250000000001,0.008185965723619909,Q1,0.00016646289439115058,0.0004989892162902132,0.001544923290145661,0.0028323392900270195
u000121,eval,0.0059482214754180696,0.003927415578572357,0.4531250000000001,0.008185965723619909,Q3,0.00017899837152990372,0.0008765068864007297,0.0045159983699146755,0.010139416245711463
u000122,eval,0.12507579633005894,0.007347330415286128,0.4531250000000001,0.008185965723619909,Q3,0.00016787824773556448,0.0007881641267818429,0.007573734942544541,0.020862084596531716
u000123,eval,0.21385842706803704,0.007187374445390807,0.4531250000000001,0.008185965723619909,Q3,0.00013833630111381723,0.0008342912244881928,0.00536058114358795,0.022418563043961615
u000125,eval,0.08126307545207101,0.007131620474784669,0.4531250000000001,0.008185965723619909,Q3,0.00019875779742029032,0.0006008070231544593,0.0060859892998101905,0.021643320854545456
u000003,eval,0.2918256869188236,0.0028637662996547006,0.4531250000000001,0.008185965723619909,Q3,0.00018149092909358622,0.0008253322684699249,0.0031687801498681,0.007280306892935351
u000004,eval,0.3614441988713819,0.003858570378766589,0.4531250000000001,0.008185965723619909,Q3,0.00019960246358596834,0.001102498439466304,0.005015311478752338,0.009118084485514322
u000005,eval,0.22382010186153023,0.007509694139439249,0.4531250000000001,0.008185965723619909,Q3,0.00014156620884742122,0.0006061061712836491,0.005606782863246895,0.023686778462641334
u000006,eval,0.019239926253821538,0.0032465265746907143,0.4531250000000001,0.008185965723619909,Q3,0.0002162287267291063,0.0011120801886064235,0.0038835026972783293,0.007775225985632517
u000007,eval,0.20251265427430343,0.004241063297740844,0.4531250000000001,0.008185965723619909,Q3,0.00017325849112670433,0.00066745044294092,0.003952676999338545,0.012172223874397203
u000008,eval,2.220446049250313e-16,0.0028551494328422156,0.4531250000000001,0.008185965723619909,Q3,0.00016198401299571952,0.0013279713851093167,0.003364356852655459,0.006566995742166237
u000011,eval,0.530078649698678,0.004010776718654676,0.4531250000000001,0.008185965723619909,Q1,0.00015175570195335997,0.0005135826891107254,0.0037665974672693725,0.011612493204526286
u000015,eval,0.3120240058203283,0.01913304220115037,0.4531250000000001,0.008185965723619909,Q4,0.00018054266848543943,0.0006337943177466832,0.011185355598526847,0.06453873247095665
u000016,eval,0.1819532736613162,0.002803112234897802,0.4531250000000001,0.008185965723619909,Q3,0.00019434390151418235,0.0007065725718428117,0.0026375548868166065,0.007674790269791787
u000017,eval,0.9246676183677268,0.005728846277671395,0.4531250000000001,0.008185965723619909,Q1,0.0002062752896371256,0.0005905569852292514,0.0049279211113446575,0.01719252162869933
u000019,eval,0.15274897132595733,0.0026705551041651095,0.4531250000000001,0.008185965723619909,Q3,0.00018998018065652378,0.0005108671980098567,0.003208750618189593,0.006773511325460668
u000022,eval,0.06254666199283954,0.00846847891112469,0.4531250000000001,0.008185965723619909,Q4,0.00017931701473639095,0.0012817367209200237,0.007728973485881752,0.024686609603326803
u000024,eval,0.05659844051742158,0.001993047369455949,0.4531250000000001,0.008185965723619909,Q3,0.00019712865296062088,0.0007440921921312293,0.0022059525291197035,0.004825547613502956
u000025,eval,0.13240259290503853,0.005584654766203187,0.4531250000000001,0.008185965723619909,Q3,0.000215036488059428,0.0007076663957900076,0.0051724495269650506,0.016245302836418563
u000026,eval,0.04007560308570457,0.005557897845730692,0.4531250000000001,0.008185965723619909,Q3,0.00019593317941901667,0.0010953968978559825,0.006096034548716656,0.01484602668897761
u000027,eval,0.402898377056648,0.005389619518988056,0.4531250000000001,0.008185965723619909,Q3,0.00016772297721412421,0.0008591360292838912,0.005091782546517987,0.015441567602551665
u000028,eval,0.6385558011286181,0.0150212621393952,0.4531250000000001,0.008185965723619909,Q2,0.00016178258355215025,0.0006326740049688029,0.008681180497688734,0.050614271316150594
u000029,eval,0.026783898307301213,0.0045370557709758595,0.4531250000000001,0.008185965723619909,Q3,0.00021314875548272827,0.0011935325520082696,0.00535238948985306,0.011390562558185158
u000030,eval,0.2159873201475806,0.015500443366272668,0.4531250000000001,0.008185965723619909,Q4,0.00017328769178570624,0.0008803228169481647,0.014407161721896156,0.046546462183931325
